,스타벅스,투썸플레이스,탐앤탐스,이디야,메가커피,할리스,커피빈,커피베이,엔제리너스,파스쿠찌
1,4100,4100,4100,3200,2000,4100,4800,3200,4300,4300
2,4600,4600,4700,3700,2700,4600,5300,3700,4800,4800
3,4600,4600,4700,3700,2700,4600,5300,3700,4800,4800
4,5200,5100,5100,3900,3200,5400,5800,4000,5500,5400
5,5100,5100,5100,3900,3700,5100,5800,4000,5500,5300
6,5600,5600,5100,3900,3500,5500,6300,4000,5900,5400
7,4500,4500,4600,3700,3300,4500,5000,,5200,4500
8,,5000,5000,3700,3200,5800,5800,3700,6300,5000
9,5300,4800,4600,3700,3200,4900,5500,3700,5100,4500
